ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
mmm,0000066740,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-04-28,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
abt,0000001800,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-04-29,2020-03-31,2019-10-31,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
abbv,0001551152,2020-02-21,2019-12-31,2019-02-27,2018-12-31,2020-05-08,2020-03-31,2019-11-06,2019-09-30,2019-08-05,2019-06-30,2019-05-03,2019-03-31,2018-11-07,2018-09-30,2018-08-07,2018-06-30
abmd,0000815094,2020-05-21,2020-03-31,2019-05-23,2019-03-31,2020-02-06,2019-12-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-02-05,2018-12-31,2018-11-06,2018-09-30,2018-08-02,2018-06-30
acn,0001467373,2019-10-29,2019-08-31,2018-10-24,2018-08-31,2020-03-19,2020-02-29,2019-12-19,2019-11-30,2019-06-27,2019-05-31,2019-03-28,2019-02-28,2018-12-20,2018-11-30,2018-06-28,2018-05-31
atvi,0000718877,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-05-05,2020-03-31,2019-11-07,2019-09-30,2019-08-08,2019-06-30,2019-05-02,2019-03-31,2018-11-08,2018-09-30,2018-08-02,2018-06-30
adbe,0000796343,2020-01-21,2019-11-29,2019-01-25,2018-11-30,2020-03-25,2020-02-28,2019-09-26,2019-08-30,2019-06-26,2019-05-31,2019-03-27,2019-03-01,2018-09-26,2018-08-31,2018-06-27,2018-06-01
amd,0000002488,2020-02-04,2019-12-28,2019-02-08,2018-12-29,2020-04-29,2020-03-28,2019-10-30,2019-09-28,2019-07-31,2019-06-29,2019-05-01,2019-03-30,2018-10-31,2018-09-29,2018-08-02,2018-06-30
aap,0001158449,2020-02-18,2019-12-28,2019-02-19,2018-12-29,2020-05-19,2020-04-18,2019-11-12,2019-10-05,2019-08-13,2019-07-13,2019-05-22,2019-04-20,2018-11-13,2018-10-06,2018-08-14,2018-07-14
aes,0000874761,2020-02-28,2019-12-31,2019-02-27,2018-12-31,2020-05-07,2020-03-31,2019-11-06,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-07,2018-06-30
afl,0000004977,2020-02-21,2019-12-31,2019-02-25,2018-12-31,2020-04-30,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-11-01,2018-09-30,2018-08-03,2018-06-30
a,0001090872,2019-12-19,2019-10-31,2018-12-20,2018-10-31,2020-06-01,2020-04-30,2020-03-03,2020-01-31,2019-08-30,2019-07-31,2019-05-30,2019-04-30,2019-03-05,2019-01-31,2018-08-30,2018-07-31
apd,0000002969,2019-11-26,2019-09-30,2018-11-20,2018-09-30,2020-04-23,2020-03-31,2020-01-24,2019-12-31,2019-07-25,2019-06-30,2019-04-24,2019-03-31,2019-01-25,2018-12-31,2018-07-26,2018-06-30
akam,0001086222,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-08,2020-03-31,2019-11-08,2019-09-30,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-11-08,2018-09-30,2018-08-08,2018-06-30
alk,0000766421,2020-02-12,2019-12-31,2019-02-15,2018-12-31,2020-05-14,2020-03-31,2019-11-07,2019-09-30,2019-08-06,2019-06-30,2019-05-09,2019-03-31,2018-11-02,2018-09-30,2018-08-08,2018-06-30
